path,split,class_dir,md5,source_key,chain,source_group_id,group_size,group_splits,group_label,role,role_confidence,role_rule,duplicate_group,near_duplicate_group,near_dup_candidate,dhash_to_original,grouping_confidence,grouping_basis,source_key_status,ungrouped_low_confidence
train/malignant/malignant (83)-rotated1-rotated1.png,train,malignant,4565308b9999e05e6adaf889c75e3c73,malignant (83),rotated1|rotated1,grp-0013591ebd00,21,train,malignant,augmented_variant,high,filename_chain_explicit,,near-306a51acca51,True,8,high (filename lineage; dataset's own naming scheme),filename_source_key,inferred_from_filename_not_verified_identifier,False
train/malignant/malignant (83)-rotated1-rotated2.png,train,malignant,d4a85577ee6450bc529c2289c5fc51be,malignant (83),rotated1|rotated2,grp-0013591ebd00,21,train,malignant,augmented_variant,high,filename_chain_explicit,,near-f0e575ae4c38,True,11,high (filename lineage; dataset's own naming scheme),filename_source_key,inferred_from_filename_not_verified_identifier,False
train/malignant/malignant (83)-rotated1-rotated32.png,train,malignant,03f46119cb6d0c0fccf04b0e2c2205f0,malignant (83),rotated1|rotated32,grp-0013591ebd00,21,train,malignant,augmented_variant,high,filename_chain_explicit,,near-f0e575ae4c38,True,13,high (filename lineage; dataset's own naming scheme),filename_source_key,inferred_from_filename_not_verified_identifier,False
train/malignant/malignant (83)-rotated1-sharpened.png,train,malignant,68279a2fc7bb3380f7fd9565266ff63f,malignant (83),rotated1|sharpened,grp-0013591ebd00,21,train,malignant,augmented_variant,high,filename_chain_explicit,,near-f0e575ae4c38,True,11,high (filename lineage; dataset's own naming scheme),filename_source_key,inferred_from_filename_not_verified_identifier,False
train/malignant/malignant (83)-rotated1.png,train,malignant,6d7bcc0e0b98a8c98ebd0661f0a45e3b,malignant (83),rotated1,grp-0013591ebd00,21,train,malignant,augmented_variant,high,filename_chain_explicit,,near-306a51acca51,True,1,high (filename lineage; dataset's own naming scheme),filename_source_key,inferred_from_filename_not_verified_identifier,False
train/malignant/malignant (83)-rotated2-rotated1.png,train,malignant,339e7667b10978f57a8efb4d7488174b,malignant (83),rotated2|rotated1,grp-0013591ebd00,21,train,malignant,augmented_variant,high,filename_chain_explicit,,near-f0e575ae4c38,True,15,high (filename lineage; dataset's own naming scheme),filename_source_key,inferred_from_filename_not_verified_identifier,False
train/malignant/malignant (83)-rotated2-rotated2.png,train,malignant,0d9bf3cff3bc809089a4825a279c0fd6,malignant (83),rotated2|rotated2,grp-0013591ebd00,21,train,malignant,augmented_variant,high,filename_chain_explicit,,near-479de895fb2e,True,21,high (filename lineage; dataset's own naming scheme),filename_source_key,inferred_from_filename_not_verified_identifier,False
train/malignant/malignant (83)-rotated2-rotated32.png,train,malignant,f19e8bbd2c45c8da2409dd4e796cf1b8,malignant (83),rotated2|rotated32,grp-0013591ebd00,21,train,malignant,augmented_variant,high,filename_chain_explicit,,near-306a51acca51,True,6,high (filename lineage; dataset's own naming scheme),filename_source_key,inferred_from_filename_not_verified_identifier,False
train/malignant/malignant (83)-rotated2-sharpened.png,train,malignant,d6d66a7f1dfd4fe9a48d5ae215dd3365,malignant (83),rotated2|sharpened,grp-0013591ebd00,21,train,malignant,augmented_variant,high,filename_chain_explicit,,near-306a51acca51,True,3,high (filename lineage; dataset's own naming scheme),filename_source_key,inferred_from_filename_not_verified_identifier,False
train/malignant/malignant (83)-rotated2.png,train,malignant,c7d5b95edc25ff0f5436317104789247,malignant (83),rotated2,grp-0013591ebd00,21,train,malignant,augmented_variant,high,filename_chain_explicit,,near-f0e575ae4c38,True,15,high (filename lineage; dataset's own naming scheme),filename_source_key,inferred_from_filename_not_verified_identifier,False
