bag_id,source_group_id,bag_label,instance_count,instance_list,instance_md5_list,source_key,source_key_status,splits,multi_split,original_candidate_path
bag-0013591ebd00,grp-0013591ebd00,malignant,21,train/malignant/malignant (83)-rotated1-rotated1.png|train/malignant/malignant (83)-rotated1-rotated2.png|train/malignant/malignant (83)-rotated1-rotated32.png|train/malignant/malignant (83)-rotated1-sharpened.png|train/malignant/malignant (83)-rotated1.png|train/malignant/malignant (83)-rotated2-rotated1.png|train/malignant/malignant (83)-rotated2-rotated2.png|train/malignant/malignant (83)-rotated2-rotated32.png|train/malignant/malignant (83)-rotated2-sharpened.png|train/malignant/malignant (83)-rotated2.png|train/malignant/malignant (83)-rotated32-rotated1.png|train/malignant/malignant (83)-rotated32-rotated2.png|train/malignant/malignant (83)-rotated32-rotated32.png|train/malignant/malignant (83)-rotated32-sharpened.png|train/malignant/malignant (83)-rotated32.png|train/malignant/malignant (83)-sharpened-rotated1.png|train/malignant/malignant (83)-sharpened-rotated2.png|train/malignant/malignant (83)-sharpened-rotated32.png|train/malignant/malignant (83)-sharpened-sharpened.png|train/malignant/malignant (83)-sharpened.png|train/malignant/malignant (83).png,4565308b9999e05e6adaf889c75e3c73|d4a85577ee6450bc529c2289c5fc51be|03f46119cb6d0c0fccf04b0e2c2205f0|68279a2fc7bb3380f7fd9565266ff63f|6d7bcc0e0b98a8c98ebd0661f0a45e3b|339e7667b10978f57a8efb4d7488174b|0d9bf3cff3bc809089a4825a279c0fd6|f19e8bbd2c45c8da2409dd4e796cf1b8|d6d66a7f1dfd4fe9a48d5ae215dd3365|c7d5b95edc25ff0f5436317104789247|cbe97f62ec368afb2c3a318e085d1fcd|ac2b89c68ab16e0c837a2e9a221a7586|7a9764302395c6fb1181380e34fcb02b|46195ebd09d77958e1905c94451c385d|52bb080feeacdaacdb8ffdb0d34f3930|b90d72ea2bd283b63b566e51e705695a|8cb3595922902467d707162bed76a3c4|74b5640b7fc7e2ff8b0e520cc321741a|80ecb3b1dec313cb9f983cec4cd9cf08|b6d0b3f4693aad7bab8744be9eaac033|1b6835015ce1ff9aa23636464c830fe3,malignant (83),inferred_from_filename_not_verified_identifier,train,False,train/malignant/malignant (83).png
bag-00d0e5e9344a,grp-00d0e5e9344a,benign,16,train/benign/benign (200)-rotated1-rotated1.png|train/benign/benign (200)-rotated1-rotated2.png|train/benign/benign (200)-rotated1-sharpened.png|train/benign/benign (200)-rotated1.jpg|train/benign/benign (200)-rotated1.png|train/benign/benign (200)-rotated2-rotated1.png|train/benign/benign (200)-rotated2-rotated2.png|train/benign/benign (200)-rotated2-sharpened.png|train/benign/benign (200)-rotated2.jpg|train/benign/benign (200)-rotated2.png|train/benign/benign (200)-sharpened-rotated1.png|train/benign/benign (200)-sharpened-rotated2.png|train/benign/benign (200)-sharpened-sharpened.png|train/benign/benign (200)-sharpened.jpg|train/benign/benign (200)-sharpened.png|train/benign/benign (200).png,7f84547c763186ff45ffce450d919b76|bcf91009b12ccfd14b8b58c43273c91c|42d0b012f0b5edb46a61bb316fd5e3de|57935d288bebb15f97e68e80da611f1d|ecba65f019ae5788e7954256e4b7d075|0a43015ca79372fd98c1a9016b2ddbe8|999726e922febc33f2795f2aee09e24f|b0691eeb843ebe9e099ac6897c3c6be6|57935d288bebb15f97e68e80da611f1d|9980d744d1f46019c24069828edcff97|e8e698889a5b3574e842011347f58760|77026541210cd263e5d6b6f09dc6f465|61cb356b99158c9a96ba24632e6a8ba5|1727de8f90c46c64142c2942ed0efb66|1295653352af78e9c80186de8a997f12|0d0d5093f3e8b7a3c9cff9a8ad649512,benign (200),inferred_from_filename_not_verified_identifier,train,False,train/benign/benign (200).png
bag-01a4298f9ca8,grp-01a4298f9ca8,malignant,21,train/malignant/malignant (106)-rotated1-rotated1.png|train/malignant/malignant (106)-rotated1-rotated2.png|train/malignant/malignant (106)-rotated1-rotated32.png|train/malignant/malignant (106)-rotated1-sharpened.png|train/malignant/malignant (106)-rotated1.png|train/malignant/malignant (106)-rotated2-rotated1.png|train/malignant/malignant (106)-rotated2-rotated2.png|train/malignant/malignant (106)-rotated2-rotated32.png|train/malignant/malignant (106)-rotated2-sharpened.png|train/malignant/malignant (106)-rotated2.png|train/malignant/malignant (106)-rotated32-rotated1.png|train/malignant/malignant (106)-rotated32-rotated2.png|train/malignant/malignant (106)-rotated32-rotated32.png|train/malignant/malignant (106)-rotated32-sharpened.png|train/malignant/malignant (106)-rotated32.png|train/malignant/malignant (106)-sharpened-rotated1.png|train/malignant/malignant (106)-sharpened-rotated2.png|train/malignant/malignant (106)-sharpened-rotated32.png|train/malignant/malignant (106)-sharpened-sharpened.png|train/malignant/malignant (106)-sharpened.png|train/malignant/malignant (106).png,ef9979fd23ee07f2dfe795b5da9ca5dc|9c9570509f3ae1d8e70e8cad4c66a263|80aba917b8cae62683c47604d91d4832|432e77a1fb9fda8d76965320d6e1666e|46e540162a267edd3e9bb443859c7d49|3613cc34aedfd6bc853b13bfc5397dbf|718e82b6bfa03f3909b4cdd03eda97b4|dd57977aed04295acfe085ef01807929|7ed962dd0aa9efc0e556ccdcd853d950|9515edc2e4b9ad9eb93687d637f5c935|a90fcbeec1396a34ace08930f7dca10c|112520e8095f85891b2cc0aa0caf1e8e|6f65fa9aae69cfe5cb7077e169db678f|b00ab1a593c99fd8d5e45869ccb0c06a|af3ff8d6c015df218ee9051a7705e4f5|b2c11bd9f44992a8749716709ec8d6a6|c4be89aa1cffc01bfcdd60b4779f0a73|a670e16f01fececf09f1145692892f63|1d81dcc02d98eb7aad2416eeb10909a2|ae64b98a566fe9d6941a4edbe7efb645|fc1acc377ee49a20ac4790931f7784f3,malignant (106),inferred_from_filename_not_verified_identifier,train,False,train/malignant/malignant (106).png
bag-01e91c2df96c,grp-01e91c2df96c,benign,16,val/benign/benign (6)-rotated1-rotated1.png|val/benign/benign (6)-rotated1-rotated2.png|val/benign/benign (6)-rotated1-sharpened.png|val/benign/benign (6)-rotated1.jpg|val/benign/benign (6)-rotated1.png|val/benign/benign (6)-rotated2-rotated1.png|val/benign/benign (6)-rotated2-rotated2.png|val/benign/benign (6)-rotated2-sharpened.png|val/benign/benign (6)-rotated2.jpg|val/benign/benign (6)-rotated2.png|val/benign/benign (6)-sharpened-rotated1.png|val/benign/benign (6)-sharpened-rotated2.png|val/benign/benign (6)-sharpened-sharpened.png|val/benign/benign (6)-sharpened.jpg|val/benign/benign (6)-sharpened.png|val/benign/benign (6).png,988f1b8cd4863c17affacd8f1dc250dd|4a2ea6d38962ea971067c406b8fcc558|32c97fb60060571457705ae05a06575d|6988b6fea38616e5511962e721a81d14|b5153601c9d05cf3ccec3ddd96bf4f94|2ae8ec91104bc5129f5d13c8c1cc0b3f|61cc5f01887d5e157d6d4945518183e8|a306bd69a2518e174e704437e9e731dc|fb09d4abfd8a4a44d94077605870fc9f|a0f6844505d98990b9a439bfcb81d664|871eef6ee24dca7df440c5e9aaa946d6|7ac76420dae3aacb061db5f01f78f04e|5a53ca2c905d85fb0283fafc44e3b72b|5e5fefbdac52f7e5501a6b5e684149a3|2ddf125329a2ce04012e05cbb14e15dc|69b05ad00025c12305074e889d0a4af9,benign (6),inferred_from_filename_not_verified_identifier,val,False,val/benign/benign (6).png
bag-02d71684b85c,grp-02d71684b85c,malignant,21,train/malignant/malignant (168)-rotated1-rotated1.png|train/malignant/malignant (168)-rotated1-rotated2.png|train/malignant/malignant (168)-rotated1-rotated32.png|train/malignant/malignant (168)-rotated1-sharpened.png|train/malignant/malignant (168)-rotated1.png|train/malignant/malignant (168)-rotated2-rotated1.png|train/malignant/malignant (168)-rotated2-rotated2.png|train/malignant/malignant (168)-rotated2-rotated32.png|train/malignant/malignant (168)-rotated2-sharpened.png|train/malignant/malignant (168)-rotated2.png|train/malignant/malignant (168)-rotated32-rotated1.png|train/malignant/malignant (168)-rotated32-rotated2.png|train/malignant/malignant (168)-rotated32-rotated32.png|train/malignant/malignant (168)-rotated32-sharpened.png|train/malignant/malignant (168)-rotated32.png|train/malignant/malignant (168)-sharpened-rotated1.png|train/malignant/malignant (168)-sharpened-rotated2.png|train/malignant/malignant (168)-sharpened-rotated32.png|train/malignant/malignant (168)-sharpened-sharpened.png|train/malignant/malignant (168)-sharpened.png|train/malignant/malignant (168).png,d5ba16dbe22fb7f9d0e8886b31da385c|54f48fbfaed2bc18e73e48bc0b1828e5|39822d8326072b69f1793836eaf2e572|0b83cc73315b0dc3b19b3016f9fe6ce0|f0f7077e70561a5e07f98fcaabeda8af|8bbe886975e79af0ddede0e7b2d84722|e59335f7efe1798e83d299ef26c80b67|b0224a47ee9783abed38f4f143b301e8|ab55e20a6704a2fd9e2400f1feb55adf|9c78251af8236bebf061f0bb17dffc50|f708e7181f207625504596ffaa08b382|e1f3490b120d8a501fa60cb626af25bd|2214240cd562f067cba9a18b75ed92f5|34961e58cf2de8e53877530e41621936|088b12c7f42e64999f2233a3226aa23f|7d5f260c13ff0803d502f4f5662327de|dd5ce078b5d25729458fc39cd37e3934|5fe925f6ba15043cba5d685a8c6af838|2ff35711f50a22a7824338411070bd72|dd5ce078b5d25729458fc39cd37e3934|774f0db13e6cd3d755317d038f3ff93e,malignant (168),inferred_from_filename_not_verified_identifier,train,False,train/malignant/malignant (168).png
bag-04474137c4ad,grp-04474137c4ad,malignant,21,train/malignant/malignant (192)-rotated1-rotated1.png|train/malignant/malignant (192)-rotated1-rotated2.png|train/malignant/malignant (192)-rotated1-rotated32.png|train/malignant/malignant (192)-rotated1-sharpened.png|train/malignant/malignant (192)-rotated1.png|train/malignant/malignant (192)-rotated2-rotated1.png|train/malignant/malignant (192)-rotated2-rotated2.png|train/malignant/malignant (192)-rotated2-rotated32.png|train/malignant/malignant (192)-rotated2-sharpened.png|train/malignant/malignant (192)-rotated2.png|train/malignant/malignant (192)-rotated32-rotated1.png|train/malignant/malignant (192)-rotated32-rotated2.png|train/malignant/malignant (192)-rotated32-rotated32.png|train/malignant/malignant (192)-rotated32-sharpened.png|train/malignant/malignant (192)-rotated32.png|train/malignant/malignant (192)-sharpened-rotated1.png|train/malignant/malignant (192)-sharpened-rotated2.png|train/malignant/malignant (192)-sharpened-rotated32.png|train/malignant/malignant (192)-sharpened-sharpened.png|train/malignant/malignant (192)-sharpened.png|train/malignant/malignant (192).png,7b88701370e92469422bc50639a63997|96e007ef84b5374acc23951e2eb0c39b|8120b77cbec6a79920203bc962b438d6|0295898d2584c6ac08c7bc5e570c57de|835819ca6e10f36b1b982600a3be8f52|97483ad80674495609c0c57fb611a96d|cae5f1f5ee108d1f07057e07456b8261|f9c71e6a01d5d18cfc37f1b2ecc98c63|ddf8fcd6fef88c5340b1708a183fa6d4|06565685215f3e666b44774815cf61b6|b5935329c00b3f64cb5336706d0e807d|f9274a0dbd7c27c2d67b6fbb51e72316|eb5980b6d58b469225e5d40e73e2a835|3cac2bb33321bba9a20408da1f581e46|45f4394335586a9ea7e62ae477d54b3a|92137654e71a506ecd4788c4363b02ac|30200bf440658e99d09f4ff98fec02c1|04bf7d878f4b0abd2dff5809644669ed|7dd25b8609b741328de6f33f54dd9144|daada45a12cca2ad8772253863b80200|0cc7d10f9d9f3bd4e2531573657dea69,malignant (192),inferred_from_filename_not_verified_identifier,train,False,train/malignant/malignant (192).png
bag-049fdd00c10c,grp-049fdd00c10c,malignant,21,train/malignant/malignant (90)-rotated1-rotated1.png|train/malignant/malignant (90)-rotated1-rotated2.png|train/malignant/malignant (90)-rotated1-rotated32.png|train/malignant/malignant (90)-rotated1-sharpened.png|train/malignant/malignant (90)-rotated1.png|train/malignant/malignant (90)-rotated2-rotated1.png|train/malignant/malignant (90)-rotated2-rotated2.png|train/malignant/malignant (90)-rotated2-rotated32.png|train/malignant/malignant (90)-rotated2-sharpened.png|train/malignant/malignant (90)-rotated2.png|train/malignant/malignant (90)-rotated32-rotated1.png|train/malignant/malignant (90)-rotated32-rotated2.png|train/malignant/malignant (90)-rotated32-rotated32.png|train/malignant/malignant (90)-rotated32-sharpened.png|train/malignant/malignant (90)-rotated32.png|train/malignant/malignant (90)-sharpened-rotated1.png|train/malignant/malignant (90)-sharpened-rotated2.png|train/malignant/malignant (90)-sharpened-rotated32.png|train/malignant/malignant (90)-sharpened-sharpened.png|train/malignant/malignant (90)-sharpened.png|train/malignant/malignant (90).png,4ff78f311a3bdfd5621824076fab3684|07e3b199876c382e86efa26d41e61144|82907b68adf5d5b8c7d0599ac0e19cf9|6ae0b168eb4a0b7b681f16ed6c176145|0b52462c08381242dc2844cf028daf08|3e27db36d638faedb237ad7b69b6ca13|e5798c4fae1294402b6ac52022005822|cc4d5bd740c937b5f786a16e01ffd635|19478f8c3d43f7d5ee9a2d8742a42724|df0fa9669e2f155a01756e0a44d0bf03|a37caee0c7c6f04ccb6d379d87b8f7ca|ee321853bb419351dfb68196909894af|561a11fe623ecfb1c54be58f5e856634|b8d297324540339ed8c6476f9fa656c7|5657d5369b230609988e116da0edc139|0ca6a5655393d4712d5b193547965e3f|6196036598dcc9b4798a81eae62261d2|b89b6b58128133171171257b13a92adb|3f24a884489a81c05f63b61622f9e97a|6f262c4e86d0e2b03b47f6ca50d9ec5e|23b867184d4b96d51f4f8e792f8c0ca3,malignant (90),inferred_from_filename_not_verified_identifier,train,False,train/malignant/malignant (90).png
bag-04d1c13c4774,grp-04d1c13c4774,malignant,21,train/malignant/malignant (147)-rotated1-rotated1.png|train/malignant/malignant (147)-rotated1-rotated2.png|train/malignant/malignant (147)-rotated1-rotated32.png|train/malignant/malignant (147)-rotated1-sharpened.png|train/malignant/malignant (147)-rotated1.png|train/malignant/malignant (147)-rotated2-rotated1.png|train/malignant/malignant (147)-rotated2-rotated2.png|train/malignant/malignant (147)-rotated2-rotated32.png|train/malignant/malignant (147)-rotated2-sharpened.png|train/malignant/malignant (147)-rotated2.png|train/malignant/malignant (147)-rotated32-rotated1.png|train/malignant/malignant (147)-rotated32-rotated2.png|train/malignant/malignant (147)-rotated32-rotated32.png|train/malignant/malignant (147)-rotated32-sharpened.png|train/malignant/malignant (147)-rotated32.png|train/malignant/malignant (147)-sharpened-rotated1.png|train/malignant/malignant (147)-sharpened-rotated2.png|train/malignant/malignant (147)-sharpened-rotated32.png|train/malignant/malignant (147)-sharpened-sharpened.png|train/malignant/malignant (147)-sharpened.png|train/malignant/malignant (147).png,fb4dedac83065be67ef9c8d754f73ddf|f6ec12cb0fae731e42a5176dc499ff7c|78777c1ae0c69c06da22dcd9226bcc72|bbe9a44146af5f2453b24f573094e614|34f7f69aedf03ec166d47e1a37296f57|5bd64004574fa554ae1aa5b9dd87a80b|64db38c78d8028c53281543d8a48adb3|4eb15504948c5f221d0f403523173d1a|7ab0ae15937aff610938af04b8e47568|ed2cecf5235c2b6a943ae600d3e80533|423eb5cc916a59b656ef6bc4bc6742d7|423eb5cc916a59b656ef6bc4bc6742d7|b5507f526c300a568cd6a75e380de2b1|71c505fb28533674037d97b8caf020e6|649c84529162760e03996840be21d776|fa79a168fd65740ebddbaef6cc452370|2f12180fc003284bfd0cc7dd0bb68aaf|f4497df4abbb953c28144ae8180e3cf8|597d2962314c1f3bb80f0bd7ecb880c6|42eff144587d663a5c9b3519a2b2cce0|6b88e2fc24cc5f94420889d6790bcb9f,malignant (147),inferred_from_filename_not_verified_identifier,train,False,train/malignant/malignant (147).png
bag-05c39d11dbfe,grp-05c39d11dbfe,malignant,21,train/malignant/malignant (132)-rotated1-rotated1.png|train/malignant/malignant (132)-rotated1-rotated2.png|train/malignant/malignant (132)-rotated1-rotated32.png|train/malignant/malignant (132)-rotated1-sharpened.png|train/malignant/malignant (132)-rotated1.png|train/malignant/malignant (132)-rotated2-rotated1.png|train/malignant/malignant (132)-rotated2-rotated2.png|train/malignant/malignant (132)-rotated2-rotated32.png|train/malignant/malignant (132)-rotated2-sharpened.png|train/malignant/malignant (132)-rotated2.png|train/malignant/malignant (132)-rotated32-rotated1.png|train/malignant/malignant (132)-rotated32-rotated2.png|train/malignant/malignant (132)-rotated32-rotated32.png|train/malignant/malignant (132)-rotated32-sharpened.png|train/malignant/malignant (132)-rotated32.png|train/malignant/malignant (132)-sharpened-rotated1.png|train/malignant/malignant (132)-sharpened-rotated2.png|train/malignant/malignant (132)-sharpened-rotated32.png|train/malignant/malignant (132)-sharpened-sharpened.png|train/malignant/malignant (132)-sharpened.png|train/malignant/malignant (132).png,e3f80c92f1355df2ccdb4d78223f3d20|e0a6139abef1155caddd670b0921b3dc|3ddc91195e2ccedeed40cb64767244f2|2f00d1801403f3da5df45351892a9de1|94639751e48933107c6f8d2b8543117c|0f73bd8ae0bbb4c416e1cedae3b35a52|b0be7dba9dce50cab94e528dbe017af8|34ddf607246253c07ba36fa572758a08|400d9f0cf1d4793387d51726d7da7994|6d90c0e2e3bb543f95e0fbb6dbd379f3|322dca1626f4ff34abe54475417c3ed5|58280635dc86992d7a40648f274ff836|e37f7115137ae99540e7c455279edc91|870eae2319184b374f96c38e5633e2b1|2fa98106bfd621d2ad148b555ae46a3c|1704bced412071acd781606e0b4fe289|f6ab0a00de9dff4b119014ef2577b2fa|accd5cc3cddc87d75aa83cfc3b0ff305|bc8d5fa3f88091b420e51ea1423e7990|0094a973937cd8801319e874210d35f9|9298989d4b33c898b515f222727e5548,malignant (132),inferred_from_filename_not_verified_identifier,train,False,train/malignant/malignant (132).png
bag-05d8f8e1658b,grp-05d8f8e1658b,benign,16,train/benign/benign (179)-rotated1-rotated1.png|train/benign/benign (179)-rotated1-rotated2.png|train/benign/benign (179)-rotated1-sharpened.png|train/benign/benign (179)-rotated1.jpg|train/benign/benign (179)-rotated1.png|train/benign/benign (179)-rotated2-rotated1.png|train/benign/benign (179)-rotated2-rotated2.png|train/benign/benign (179)-rotated2-sharpened.png|train/benign/benign (179)-rotated2.jpg|train/benign/benign (179)-rotated2.png|train/benign/benign (179)-sharpened-rotated1.png|train/benign/benign (179)-sharpened-rotated2.png|train/benign/benign (179)-sharpened-sharpened.png|train/benign/benign (179)-sharpened.jpg|train/benign/benign (179)-sharpened.png|train/benign/benign (179).png,b4a5f6f55e4553d64a8f99033e710818|a1bc0afbb1744cdce626e66b22b33cdb|c61247176448bd2f85a5306777439ad0|9164cc448bab7aad669c0415a683dab9|3b14981c60e7b4676d27ae13fac4de06|af8091097cd6e9229f9df6822cd0055d|50e4ec4001879e71b4dae2b04c1cb018|c6b786630d9bf33424d001a2882b8f91|c56dd384808dae4466eeb13e00469b07|944a1dcb04acb9a16950aad2af64de61|fa712fdd487dd73a92ddcf0944666b3b|328248bc0ea7d0c90868356f47fa6247|849b07aee36a10395b08600ae789f44c|a2967d0603b856a777e78ddfb375b4ad|2793ba54ba0442bcf106bb680eeff835|a034ac0b79dd6597b2818f6fb065cb00,benign (179),inferred_from_filename_not_verified_identifier,train,False,train/benign/benign (179).png
