path,split,class_dir,ext,bytes,read_ok,width,height,channels,mode,format,bit_depth,md5,sha256,dhash_hex,source_key,chain,lineage_class,source_key_status,duplicate_group,near_duplicate_group,stem_parsed
train/benign/benign (100)-rotated1-rotated1.png,train,benign,png,58784,True,224,224,3,RGB,PNG,8,bbfa40333f1f78c84e08d181dbd74754,d0f2782b20b825ea8a7ac5a080907b208d35c191a30839f706c8b0587e218ad2,01478c796058706f,benign (100),rotated1|rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-53bb24d887ea,True
train/benign/benign (100)-rotated1-rotated2.png,train,benign,png,56334,True,224,224,3,RGB,PNG,8,ce780e61a03133bbef69c14c474ed799,3a0a43cf02e9b95e83abe283f109992a6442086e9b99aaaa91c935cc9623a633,3f4b4266d1d12103,benign (100),rotated1|rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-ce1bf57fc335,True
train/benign/benign (100)-rotated1-sharpened.png,train,benign,png,91512,True,224,224,3,RGB,PNG,8,d409d1e7ee4142c67cb53a1177a37b7e,57c0fa362ddc5fbfade183c91944d8669449c974687d103df0a84e251ae0eeee,094386616050706c,benign (100),rotated1|sharpened,confirmed,inferred_from_filename_not_verified_identifier,exact-d409d1e7ee41,near-481474c0dbc8,True
train/benign/benign (100)-rotated1.jpg,train,benign,jpg,16581,True,224,224,3,RGB,JPEG,8,5645dfd5784440f97c8d8c6188c773d1,e1179443d0869f71c8d0cc0bce1336cf445cc7b5d11f694f018a8401a75faed3,6d81c664f1d0f1c1,benign (100),rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-d040cf764747,True
train/benign/benign (100)-rotated1.png,train,benign,png,61110,True,224,224,3,RGB,PNG,8,56a1b65b0cfaffce3fd62d162aa364f2,3fb916d3c206f92ffa754780c7cd0c44a40d1bdceddc06e4ba54c4731057e3b9,3f094366d1d1e101,benign (100),rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-ce1bf57fc335,True
train/benign/benign (100)-rotated2-rotated1.png,train,benign,png,58641,True,224,224,3,RGB,PNG,8,2f38a521efc225d0010c1fee1c4c5284,bb6c67b201ac3dca25ee5c1e76e6eb32cbdb132ab031c5a5eafa87a7de67027c,091386616050704c,benign (100),rotated2|rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-481474c0dbc8,True
train/benign/benign (100)-rotated2-rotated2.png,train,benign,png,56819,True,224,224,3,RGB,PNG,8,74609fd599e5070cb27ddcf5482b92a9,dbaaa1f615ac007f2be7e3811a54d29d41b7fc8a5ce363415d72ef2352999b0c,3f4f4366f1d12103,benign (100),rotated2|rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-ce1bf57fc335,True
train/benign/benign (100)-rotated2-sharpened.png,train,benign,png,91512,True,224,224,3,RGB,PNG,8,d409d1e7ee4142c67cb53a1177a37b7e,57c0fa362ddc5fbfade183c91944d8669449c974687d103df0a84e251ae0eeee,094386616050706c,benign (100),rotated2|sharpened,confirmed,inferred_from_filename_not_verified_identifier,exact-d409d1e7ee41,near-481474c0dbc8,True
train/benign/benign (100)-rotated2.jpg,train,benign,jpg,15688,True,224,224,3,RGB,JPEG,8,b0bde6c8586c9e11363fff798e5c212b,810baf18d5ce550fac7b69cb83dce875614efabfd43478ed617f0aaaf1f1abfc,03278df96068607f,benign (100),rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-b36c4791785b,True
train/benign/benign (100)-rotated2.png,train,benign,png,64078,True,224,224,3,RGB,PNG,8,c8ebe1e94accde4ce1cf9ce161711fb2,5a5f576016c8b91b78d678983d2a6d96f9aa286d169e6c28cbd6a5a66c845186,0327ddf06868602f,benign (100),rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-b36c4791785b,True
train/benign/benign (100)-sharpened-rotated1.png,train,benign,png,88185,True,224,224,3,RGB,PNG,8,02d30c2303550cba8400fd48aacf8935,22f7ae99b602dd76e530ccd0a8ae9144992a9e611e63902550423ba1eec0974c,3f4f4366d1d1a101,benign (100),sharpened|rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-ce1bf57fc335,True
train/benign/benign (100)-sharpened-rotated2.png,train,benign,png,89038,True,224,224,3,RGB,PNG,8,45321ce1843208e9906976e60f038ff9,f461343fbba0f1c5db88f5ef22880b06919c2f396ce5f3f46e717c19e3f01bbb,01678c796058706f,benign (100),sharpened|rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-53bb24d887ea,True
train/benign/benign (100)-sharpened-sharpened.png,train,benign,png,123806,True,224,224,3,RGB,PNG,8,ed0afc06d970ef07b8e74941f66c6c3e,93ae348e31f129652c89ba323dbb5869477673e9c5773eb9a10c46e0545e1c1f,6981c664d1d0d1e1,benign (100),sharpened|sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-d040cf764747,True
train/benign/benign (100)-sharpened.jpg,train,benign,jpg,27063,True,224,224,3,RGB,JPEG,8,1bb163b154c65ed56d1b9afb1a8186e0,925727bc0b298d5be3a77a69ddc8b9bc8b6121d74a11120bbd33ea6e3ec0395f,6181c664f1d0f1c1,benign (100),sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-d040cf764747,True
train/benign/benign (100)-sharpened.png,train,benign,png,98749,True,224,224,3,RGB,PNG,8,e6d8b4b922d2a3a645332c86b68891b8,f1325702f655fd0267f12a7b56efc3d1b1d9e9416373c2e0d5dd0fa09367d22f,6181c664f1d0f1c1,benign (100),sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-d040cf764747,True
train/benign/benign (100).png,train,benign,png,44085,True,227,227,3,RGB,PNG,8,a54cf672cf602156d3696c0c51d310d1,f75fb3ceac83a7df65d0a5fc35c42fedc2323eb6a4fa810b6ff1cd8029349990,6d81c664e1d0f1e1,benign (100),,strong,inferred_from_filename_not_verified_identifier,,near-d040cf764747,True
train/benign/benign (101)-rotated1-rotated1.png,train,benign,png,70843,True,224,224,3,RGB,PNG,8,34374e4283077c30292aecac9f16ac77,65394cf04b0c89243a37139acd70e513670c525be431911ede8ce5a8f363f9fe,6f62286a79d9d9c9,benign (101),rotated1|rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-ac50c42ab3f6,True
train/benign/benign (101)-rotated1-rotated2.png,train,benign,png,73492,True,224,224,3,RGB,PNG,8,ef14e23e7dcb2b44745a41def0737cd0,c5f904a2419d025be8f26e86e2a8a6a03bc4f85e8ac45ba0266be7612367bfaa,4f612b2a79486848,benign (101),rotated1|rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-bc74eb3a4cbf,True
train/benign/benign (101)-rotated1-sharpened.png,train,benign,png,103377,True,224,224,3,RGB,PNG,8,b44ca4c501ed2883cff39a9dbe7dcda6,1e735df74199b8e34b5b60cf53b43a652ccd7a459c16152471a01dc82e283e34,15c12a287968686c,benign (101),rotated1|sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-93006c1dc5cb,True
train/benign/benign (101)-rotated1.jpg,train,benign,jpg,19796,True,224,224,3,RGB,JPEG,8,2c489cffc17653a82957b7bdf0a77b4b,97833c43aa7add36663c0e99d13ccd85130281a30139224825ced9b0db90e0a7,4a6028ea7958c8c8,benign (101),rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-2bbc082a59d9,True
train/benign/benign (101)-rotated1.png,train,benign,png,77213,True,224,224,3,RGB,PNG,8,da297f82770e3a08f74fc6ba1f5b9e03,29c8ba394b122217e5d0941dcd76dcf41b72f35632880472595e2b883de9d461,6f32286a79d9d9d9,benign (101),rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-ac50c42ab3f6,True
train/benign/benign (101)-rotated2-rotated1.png,train,benign,png,77064,True,224,224,3,RGB,PNG,8,96f2c8ccf54313c31056f6c8f034da8b,b43ad9e98ca7a5c442c6ac7c2e8b796572a4ee90e3844bb8579bbbb6b37fecff,6f32286a59d9d1d9,benign (101),rotated2|rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-ac50c42ab3f6,True
train/benign/benign (101)-rotated2-rotated2.png,train,benign,png,71687,True,224,224,3,RGB,PNG,8,6829d79cdd877a32eeff0cd975b465fb,f0c940fdf90f9c098f9ca9c4cb116d62bee9de9febb6d1ae17b993d75d2a2325,0b612b2a7948684c,benign (101),rotated2|rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-bc74eb3a4cbf,True
train/benign/benign (101)-rotated2-sharpened.png,train,benign,png,104413,True,224,224,3,RGB,PNG,8,a623ff1ad5fc64d97b837bbea231e0f2,1abeb77e4cb3dabde278d44aca8c4b51566ab32590f4f9d5048ed3b8f1498667,6f32286a59d9d1d9,benign (101),rotated2|sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-ac50c42ab3f6,True
train/benign/benign (101)-rotated2.jpg,train,benign,jpg,18016,True,224,224,3,RGB,JPEG,8,570704b669dcc323ae9ea4aa4d5c2b68,1eefef952b032d34ce52205d55060b4da7f20648342f45ee2de86d566154722a,2711656a1b91d111,benign (101),rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-1a7d343739b0,True
