file_a,file_b,dhash_hamming,ssim_64
train/benign/benign (100)-rotated1-sharpened.png,train/benign/benign (100)-rotated2-sharpened.png,0,1.000000
train/benign/benign (100)-sharpened.jpg,train/benign/benign (100)-sharpened.png,0,0.999491
train/benign/benign (101)-rotated1.jpg,train/benign/benign (101)-rotated2.png,0,0.999723
train/benign/benign (101)-rotated1.jpg,train/benign/benign (101).png,0,0.999116
train/benign/benign (101)-rotated2-rotated1.png,train/benign/benign (101)-rotated2-sharpened.png,0,0.957541
train/benign/benign (101)-rotated2.png,train/benign/benign (101).png,0,0.999153
train/benign/benign (102)-rotated1-rotated1.png,train/benign/benign (102)-rotated1-rotated2.png,0,1.000000
train/benign/benign (103)-rotated1-sharpened.png,train/benign/benign (103)-rotated1.jpg,0,0.958230
train/benign/benign (103)-rotated1-sharpened.png,train/benign/benign (103)-rotated2-sharpened.png,0,1.000000
train/benign/benign (103)-rotated1-sharpened.png,train/benign/benign (103)-sharpened-rotated1.png,0,1.000000
train/benign/benign (103)-rotated1-sharpened.png,train/benign/benign (103)-sharpened.jpg,0,0.999856
train/benign/benign (103)-rotated1-sharpened.png,train/benign/benign (103)-sharpened.png,0,1.000000
train/benign/benign (103)-rotated1-sharpened.png,train/benign/benign (103).png,0,0.965720
train/benign/benign (103)-rotated1.jpg,train/benign/benign (103)-rotated2-sharpened.png,0,0.958230
train/benign/benign (103)-rotated1.jpg,train/benign/benign (103)-sharpened-rotated1.png,0,0.958230
train/benign/benign (103)-rotated1.jpg,train/benign/benign (103)-sharpened.jpg,0,0.957494
train/benign/benign (103)-rotated1.jpg,train/benign/benign (103)-sharpened.png,0,0.958230
train/benign/benign (103)-rotated1.jpg,train/benign/benign (103).png,0,0.999323
train/benign/benign (103)-rotated2-sharpened.png,train/benign/benign (103)-sharpened-rotated1.png,0,1.000000
train/benign/benign (103)-rotated2-sharpened.png,train/benign/benign (103)-sharpened.jpg,0,0.999856
train/benign/benign (103)-rotated2-sharpened.png,train/benign/benign (103)-sharpened.png,0,1.000000
train/benign/benign (103)-rotated2-sharpened.png,train/benign/benign (103).png,0,0.965720
train/benign/benign (103)-sharpened-rotated1.png,train/benign/benign (103)-sharpened.jpg,0,0.999856
train/benign/benign (103)-sharpened-rotated1.png,train/benign/benign (103)-sharpened.png,0,1.000000
train/benign/benign (103)-sharpened-rotated1.png,train/benign/benign (103).png,0,0.965720
train/benign/benign (103)-sharpened.jpg,train/benign/benign (103)-sharpened.png,0,0.999856
train/benign/benign (103)-sharpened.jpg,train/benign/benign (103).png,0,0.965104
train/benign/benign (103)-sharpened.png,train/benign/benign (103).png,0,0.965720
train/benign/benign (104)-rotated1-sharpened.png,train/benign/benign (104)-rotated2.png,0,0.966854
train/benign/benign (104)-sharpened.jpg,train/benign/benign (104)-sharpened.png,0,0.999863
train/benign/benign (105)-rotated1-rotated1.png,train/benign/benign (105)-rotated2-sharpened.png,0,0.890294
train/benign/benign (105)-rotated1-rotated1.png,train/benign/benign (156)-rotated1-rotated1.png,0,0.919767
train/benign/benign (105)-rotated1-sharpened.png,train/benign/benign (156)-rotated1-sharpened.png,0,0.883082
train/benign/benign (105)-rotated1-sharpened.png,train/benign/benign (156)-rotated2-sharpened.png,0,0.883082
train/benign/benign (105)-rotated2-sharpened.png,train/benign/benign (156)-rotated1-rotated1.png,0,0.797514
train/benign/benign (105)-rotated2.jpg,train/benign/benign (105).png,0,0.998635
train/benign/benign (105)-sharpened.jpg,train/benign/benign (105)-sharpened.png,0,0.999863
