section,relationship,file_a,file_b,dhash_d,ssim_64,group_id,split_a,split_b
S1,CONFIRMED same source key (malignant (83); chain rotated1|rotated1),train/malignant/malignant (83)-rotated1-rotated1.png,,,,grp-0013591ebd00,train,
S1,CONFIRMED same source key (malignant (83); chain rotated1|rotated2),train/malignant/malignant (83)-rotated1-rotated2.png,,,,grp-0013591ebd00,train,
S1,CONFIRMED same source key (malignant (83); chain rotated1|rotated32),train/malignant/malignant (83)-rotated1-rotated32.png,,,,grp-0013591ebd00,train,
S1,CONFIRMED same source key (malignant (83); chain rotated1|sharpened),train/malignant/malignant (83)-rotated1-sharpened.png,,,,grp-0013591ebd00,train,
S1,CONFIRMED same source key (malignant (83); chain rotated1),train/malignant/malignant (83)-rotated1.png,,,,grp-0013591ebd00,train,
S1,CONFIRMED same source key (malignant (83); chain rotated2|rotated1),train/malignant/malignant (83)-rotated2-rotated1.png,,,,grp-0013591ebd00,train,
S1,CONFIRMED same source key (malignant (83); chain rotated2|rotated2),train/malignant/malignant (83)-rotated2-rotated2.png,,,,grp-0013591ebd00,train,
S1,CONFIRMED same source key (malignant (83); chain rotated2|rotated32),train/malignant/malignant (83)-rotated2-rotated32.png,,,,grp-0013591ebd00,train,
S1,CONFIRMED same source key (malignant (83); chain rotated2|sharpened),train/malignant/malignant (83)-rotated2-sharpened.png,,,,grp-0013591ebd00,train,
S1,CONFIRMED same source key (malignant (83); chain rotated2),train/malignant/malignant (83)-rotated2.png,,,,grp-0013591ebd00,train,
S1,CONFIRMED same source key (malignant (83); chain rotated32|rotated1),train/malignant/malignant (83)-rotated32-rotated1.png,,,,grp-0013591ebd00,train,
S1,CONFIRMED same source key (malignant (83); chain rotated32|rotated2),train/malignant/malignant (83)-rotated32-rotated2.png,,,,grp-0013591ebd00,train,
S2,CONFIRMED md5-identical (group exact-030c992fa36c),train/benign/benign (282)-rotated1.jpg,,,,grp-8732aecc9e8e,train,
S2,CONFIRMED md5-identical (group exact-030c992fa36c),train/benign/benign (282)-rotated2.jpg,,,,grp-8732aecc9e8e,train,
S2,CONFIRMED md5-identical (group exact-05b33043a369),train/malignant/malignant (98)-sharpened-rotated32.png,,,,grp-904d1218b85a,train,
S2,CONFIRMED md5-identical (group exact-05b33043a369),train/malignant/malignant (98)-sharpened.png,,,,grp-904d1218b85a,train,
S2,CONFIRMED md5-identical (group exact-060e15ca16f3),train/malignant/malignant (108)-rotated1-sharpened.png,,,,grp-19834a45fb02,train,
S2,CONFIRMED md5-identical (group exact-060e15ca16f3),train/malignant/malignant (108)-sharpened.png,,,,grp-19834a45fb02,train,
S2,CONFIRMED md5-identical (group exact-06242ab38a6b),train/benign/benign (259)-sharpened-rotated2.png,,,,grp-3077a42b7b03,train,
S2,CONFIRMED md5-identical (group exact-06242ab38a6b),train/benign/benign (259)-sharpened.png,,,,grp-3077a42b7b03,train,
S2,CONFIRMED md5-identical (group exact-06a51a1d5d96),train/malignant/malignant (141)-sharpened-rotated1.png,,,,grp-09d7688fa9cc,train,
S2,CONFIRMED md5-identical (group exact-06a51a1d5d96),train/malignant/malignant (141)-sharpened.png,,,,grp-09d7688fa9cc,train,
S2,CONFIRMED md5-identical (group exact-077c10797773),train/malignant/malignant (69)-rotated2-rotated1.png,,,,grp-deb68c528ef1,train,
S2,CONFIRMED md5-identical (group exact-077c10797773),train/malignant/malignant (69)-rotated2-rotated2.png,,,,grp-deb68c528ef1,train,
S2,CONFIRMED md5-identical (group exact-0b06c77eed9d),train/malignant/malignant (208)-rotated2-rotated1.png,,,,grp-1cfe03f732cc,train,
S2,CONFIRMED md5-identical (group exact-0b06c77eed9d),train/malignant/malignant (208)-rotated2-rotated2.png,,,,grp-1cfe03f732cc,train,
S2,CONFIRMED md5-identical (group exact-0ccba4fc273a),train/benign/benign (164)-sharpened-rotated2.png,,,,grp-4f3b27a5d050,train,
S2,CONFIRMED md5-identical (group exact-0ccba4fc273a),train/benign/benign (164)-sharpened.png,,,,grp-4f3b27a5d050,train,
S2,CONFIRMED md5-identical (group exact-0d5710a90b7e),train/benign/benign (138)-rotated1-sharpened.png,,,,grp-8e6325a5876d,train,
S2,CONFIRMED md5-identical (group exact-0d5710a90b7e),train/benign/benign (138)-sharpened.png,,,,grp-8e6325a5876d,train,
S2,CONFIRMED md5-identical (group exact-0e08b7e9b84e),train/malignant/malignant (49)-rotated32-rotated1.png,,,,grp-f6342b9209af,train,
S2,CONFIRMED md5-identical (group exact-0e08b7e9b84e),train/malignant/malignant (49)-rotated32-rotated2.png,,,,grp-f6342b9209af,train,
S2,CONFIRMED md5-identical (group exact-0f2503fdcaa2),train/benign/benign (213)-rotated1-sharpened.png,,,,grp-0bd884a1eaaa,train,
S2,CONFIRMED md5-identical (group exact-0f2503fdcaa2),train/benign/benign (213)-sharpened.png,,,,grp-0bd884a1eaaa,train,
S2,CONFIRMED md5-identical (group exact-12f9f25513ca),train/benign/benign (237)-rotated1-sharpened.png,,,,grp-29b8f2aa6fbf,train,
S2,CONFIRMED md5-identical (group exact-12f9f25513ca),train/benign/benign (237)-rotated2-sharpened.png,,,,grp-29b8f2aa6fbf,train,
S3,CONFIRMED same source key; chain depth 0 (base/original candidate); role=original_candidate/high,val/benign/benign (23).png,,,,grp-e35c859a925c,val,
S3,CONFIRMED same source key; chain depth 8 (rotated1); role=augmented_variant/high,val/benign/benign (23)-rotated1.jpg,,,,grp-e35c859a925c,val,
S3,CONFIRMED same source key; chain depth 8 (rotated1); role=augmented_variant/high,val/benign/benign (23)-rotated1.png,,,,grp-e35c859a925c,val,
S3,CONFIRMED same source key; chain depth 8 (rotated2); role=augmented_variant/high,val/benign/benign (23)-rotated2.jpg,,,,grp-e35c859a925c,val,
S3,CONFIRMED same source key; chain depth 8 (rotated2); role=augmented_variant/high,val/benign/benign (23)-rotated2.png,,,,grp-e35c859a925c,val,
S3,CONFIRMED same source key; chain depth 9 (sharpened); role=augmented_variant/high,val/benign/benign (23)-sharpened.jpg,,,,grp-e35c859a925c,val,
S3,CONFIRMED same source key; chain depth 9 (sharpened); role=augmented_variant/high,val/benign/benign (23)-sharpened.png,,,,grp-e35c859a925c,val,
S3,CONFIRMED same source key; chain depth 17 (rotated1|rotated1); role=augmented_variant/high,val/benign/benign (23)-rotated1-rotated1.png,,,,grp-e35c859a925c,val,
S3,CONFIRMED same source key; chain depth 17 (rotated1|rotated2); role=augmented_variant/high,val/benign/benign (23)-rotated1-rotated2.png,,,,grp-e35c859a925c,val,
S3,CONFIRMED same source key; chain depth 17 (rotated2|rotated1); role=augmented_variant/high,val/benign/benign (23)-rotated2-rotated1.png,,,,grp-e35c859a925c,val,
S3,CONFIRMED same source key; chain depth 17 (rotated2|rotated2); role=augmented_variant/high,val/benign/benign (23)-rotated2-rotated2.png,,,,grp-e35c859a925c,val,
S3,CONFIRMED same source key; chain depth 18 (rotated1|sharpened); role=augmented_variant/high,val/benign/benign (23)-rotated1-sharpened.png,,,,grp-e35c859a925c,val,
S4,CONFIRMED same source key; largest family; chain rotated1|rotated1|rotated1,val/malignant/malignant (1)-rotated1-rotated1-rotated1.png,,,,grp-77687eacca02,val,
S4,CONFIRMED same source key; largest family; chain rotated1|rotated1|rotated2,val/malignant/malignant (1)-rotated1-rotated1-rotated2.png,,,,grp-77687eacca02,val,
S4,CONFIRMED same source key; largest family; chain rotated1|rotated1|rotated32,val/malignant/malignant (1)-rotated1-rotated1-rotated32.png,,,,grp-77687eacca02,val,
S4,CONFIRMED same source key; largest family; chain rotated1|rotated1|sharpened,val/malignant/malignant (1)-rotated1-rotated1-sharpened.png,,,,grp-77687eacca02,val,
S4,CONFIRMED same source key; largest family; chain rotated1|rotated1,val/malignant/malignant (1)-rotated1-rotated1.png,,,,grp-77687eacca02,val,
