split,class,position,output_file,image_path,md5,bag_id,source_group_id,qa_min,qa_max,qa_mean,qa_std,flags
train,benign,1,train__benign__benign (100)-rotated1-rotated1.png.png,train/benign/benign (100)-rotated1-rotated1.png,bbfa40333f1f78c84e08d181dbd74754,bag-9f0d473b046d,grp-9f0d473b046d,-1.2917,2.7896,-0.0041,1.0972,
train,benign,2,train__benign__benign (126)-sharpened-rotated1.png.png,train/benign/benign (126)-sharpened-rotated1.png,b1baa208fbeed51d96a7e747f7d8f981,bag-9010b160b191,grp-9010b160b191,-1.2917,2.7896,0.2096,1.028,
train,benign,3,train__benign__benign (152)-rotated2-rotated1.png.png,train/benign/benign (152)-rotated2-rotated1.png,18920ccdc03a9abe58299724c939caaf,bag-693ff99eb4da,grp-693ff99eb4da,-1.2917,2.7896,0.2561,1.1587,
train,benign,4,train__benign__benign (172).png.png,train/benign/benign (172).png,bd56b6201ddd3b667cda92807ee27c41,bag-bab2c9a2a700,grp-bab2c9a2a700,-1.2917,2.7576,0.3207,0.8278,
train,benign,5,train__benign__benign (196)-sharpened-rotated1.png.png,train/benign/benign (196)-sharpened-rotated1.png,c94f69c092daea2f57e5be4e5703c0ed,bag-88d3aa2e49de,grp-88d3aa2e49de,-1.2917,2.7896,0.4209,0.9878,
train,benign,6,train__benign__benign (217)-rotated1.png.png,train/benign/benign (217)-rotated1.png,dab3eab5b4f3e78da9575712bcaefbf3,bag-b8b55cc7a34e,grp-b8b55cc7a34e,-1.2917,2.6775,-0.0451,0.6407,
train,benign,7,train__benign__benign (240).png.png,train/benign/benign (240).png,d9e33f89cb2ff26fcd2fe1998b532294,bag-1f3c59d07f8b,grp-1f3c59d07f8b,-1.0837,2.7417,0.1567,0.6619,
train,benign,8,train__benign__benign (261)-rotated2.png.png,train/benign/benign (261)-rotated2.png,c722757610e776c789e633536f7bf7fe,bag-7cd5ea150ed8,grp-7cd5ea150ed8,-1.2917,2.5176,-0.4875,0.7743,
train,benign,9,train__benign__benign (282)-rotated1.png.png,train/benign/benign (282)-rotated1.png,e8faab75b55e1da41f9e8429f4799f0b,bag-8732aecc9e8e,grp-8732aecc9e8e,-1.2917,2.7737,-0.1423,0.8838,
train,benign,10,train__benign__benign (53)-rotated1-rotated1.png.png,train/benign/benign (53)-rotated1-rotated1.png,ac7e3bac64c23159a340892d22566c1b,bag-5736489e8e05,grp-5736489e8e05,-1.2917,2.4214,-0.4281,0.8051,
train,benign,11,train__benign__benign (74)-sharpened-rotated2.png.png,train/benign/benign (74)-sharpened-rotated2.png,64738d9df6088c58ef503e4ae3227f81,bag-ff1b8c6285e8,grp-ff1b8c6285e8,-1.2917,2.7896,0.2427,1.0933,
train,benign,12,val__benign__benign (2)-rotated2-rotated1.png.png,val/benign/benign (2)-rotated2-rotated1.png,d7b3ba87d15e4da41f0fb976ec82b1f8,bag-ec3f2b563e6c,grp-ec3f2b563e6c,-1.2917,2.7737,0.5504,1.011,
train,malignant,1,train__malignant__malignant (100)-rotated1-rotated1.png.png,train/malignant/malignant (100)-rotated1-rotated1.png,a1d510ea4e68b19996d5d95f50a0bb39,bag-a1845f341498,grp-a1845f341498,-1.2917,2.7737,0.0693,0.9804,
train,malignant,2,train__malignant__malignant (121)-rotated2-sharpened.png.png,train/malignant/malignant (121)-rotated2-sharpened.png,a1f5fddab6c004774fc2f8de3478571d,bag-9ff49a18c990,grp-9ff49a18c990,-1.2917,2.7896,0.4117,1.1534,
train,malignant,3,train__malignant__malignant (136)-sharpened-rotated32.png.png,train/malignant/malignant (136)-sharpened-rotated32.png,b9c883616963a2229680cf5caf847460,bag-863f37f9a121,grp-863f37f9a121,-1.2917,2.7896,-0.0546,0.899,
train,malignant,4,train__malignant__malignant (156)-rotated2-rotated1.png.png,train/malignant/malignant (156)-rotated2-rotated1.png,27ea75663a3f9a4411cb81f9e4b80bba,bag-c710d94525e0,grp-c710d94525e0,-1.2917,2.4536,-0.0298,0.6339,
train,malignant,5,train__malignant__malignant (172)-rotated32.png.png,train/malignant/malignant (172)-rotated32.png,9d3604815222495ce34a5f35623122de,bag-6722199b841f,grp-6722199b841f,-1.2917,2.4695,-0.1397,0.7464,
train,malignant,6,train__malignant__malignant (184)-rotated32-rotated32.png.png,train/malignant/malignant (184)-rotated32-rotated32.png,65da1ebb325bf0aa49ad0c803d70bf0f,bag-13fced21d4e1,grp-13fced21d4e1,-1.2917,2.6135,-0.3454,0.8975,
train,malignant,7,train__malignant__malignant (200)-rotated1-rotated1.png.png,train/malignant/malignant (200)-rotated1-rotated1.png,163b0756fa62f5530816c449b8bd3014,bag-1725e54c8fc7,grp-1725e54c8fc7,-1.2917,2.7095,0.3834,0.8225,
train,malignant,8,train__malignant__malignant (23)-rotated2.png.png,train/malignant/malignant (23)-rotated2.png,25f4982184f14e07fd675b576cbca18d,bag-eb1dca0eac24,grp-eb1dca0eac24,-1.2917,2.7896,-0.0196,1.1403,
train,malignant,9,train__malignant__malignant (40)-sharpened-sharpened.png.png,train/malignant/malignant (40)-sharpened-sharpened.png,cd8104b46b6a6d8e925f39207c84b814,bag-b76d14a72ce2,grp-b76d14a72ce2,-1.2917,2.7896,0.1455,1.3608,
train,malignant,10,train__malignant__malignant (61)-rotated2-rotated1.png.png,train/malignant/malignant (61)-rotated2-rotated1.png,8969e2fdfd3f86c069d83f0988d741a5,bag-9bda256fb661,grp-9bda256fb661,-1.2917,2.7737,0.264,0.8319,
train,malignant,11,train__malignant__malignant (75)-rotated32.png.png,train/malignant/malignant (75)-rotated32.png,68b584932c311c3b0582e55c7366c816,bag-fc5b4079f563,grp-fc5b4079f563,-1.2917,2.0212,-0.5603,0.7793,
train,malignant,12,train__malignant__malignant (94)-rotated1-rotated32.png.png,train/malignant/malignant (94)-rotated1-rotated32.png,952dc2d2c0270004d9f8a6923baa12fe,bag-260ace94b5c0,grp-260ace94b5c0,-1.2917,2.7256,0.2781,0.8708,
val,benign,1,train__benign__benign (108)-rotated1-rotated1.png.png,train/benign/benign (108)-rotated1-rotated1.png,d834b83fca634d275404c946330e5791,bag-36b85eee7ad5,grp-36b85eee7ad5,-1.2917,2.1975,0.177,0.7514,
val,benign,2,train__benign__benign (119)-rotated2.png.png,train/benign/benign (119)-rotated2.png,0ca1886b505b62894abc34b6e96f569c,bag-c785338fd3aa,grp-c785338fd3aa,-1.2917,2.2935,0.0981,0.7384,
val,benign,3,train__benign__benign (144)-rotated1-sharpened.png.png,train/benign/benign (144)-rotated1-sharpened.png,f35778738816f394bcc57bb4381f64a9,bag-19e4ccdb6ede,grp-19e4ccdb6ede,-1.2917,2.7896,0.0631,0.9399,
val,benign,4,train__benign__benign (155)-sharpened-sharpened.png.png,train/benign/benign (155)-sharpened-sharpened.png,d24032c8cb498c6b1c871c9c0e6684fb,bag-d9063fdcd998,grp-d9063fdcd998,-1.2917,2.7896,0.4851,1.3979,
val,benign,5,train__benign__benign (189)-rotated2-rotated1.png.png,train/benign/benign (189)-rotated2-rotated1.png,144906f6824ad4c3930934456bce97f5,bag-47aa0926753d,grp-47aa0926753d,-1.2917,2.6616,-0.0957,0.7848,
val,benign,6,train__benign__benign (211)-sharpened.png.png,train/benign/benign (211)-sharpened.png,46da4052a778fa4e7e1be0002c22395e,bag-134451698699,grp-134451698699,-1.2917,2.7896,0.4345,1.125,
val,benign,7,train__benign__benign (232)-rotated2.jpg.png,train/benign/benign (232)-rotated2.jpg,d0e612b960df69256cf251bfae9efcf3,bag-060f7dd20be5,grp-060f7dd20be5,-1.2917,2.7896,-0.3897,0.8883,
val,benign,8,train__benign__benign (276)-rotated1-rotated2.png.png,train/benign/benign (276)-rotated1-rotated2.png,98729e107c573e8cf893754feeb8dd55,bag-ff1bc7c8b40b,grp-ff1bc7c8b40b,-1.2917,2.7896,-0.4916,0.8624,
val,benign,9,train__benign__benign (46)-sharpened-rotated1.png.png,train/benign/benign (46)-sharpened-rotated1.png,8b36cd378621ce00a84e91dadc032176,bag-1588a774139f,grp-1588a774139f,-1.2917,2.7896,0.8006,1.184,
